congress_1,bill_number_1,result_1,similarity,congress_2,bill_number_2,result_2
109,h1817,,0.560222246,110,h1,Passed
109,h4009,,0.53636642,110,h1,Passed
109,h5002,,0.615541002,110,h1,Passed
109,h5017,,0.629486268,110,h1,Passed
109,h5814,,0.674961368,110,h1,Passed
109,h5174,,0.857993243,110,h100,Failed
109,h1498,,0.595259194,110,h1002,Failed
109,h1575,,0.993474926,110,h1002,Failed
109,h2414,,0.667463096,110,h1002,Failed
109,h3004,,0.645513544,110,h1002,Failed
109,h3283,,0.622399946,110,h1002,Failed
109,h3306,,0.534753716,110,h1002,Failed
109,h4808,,0.541671158,110,h1002,Failed
109,h5199,,0.507885004,110,h1002,Failed
109,h1672,,0.703233126,110,h1004,Passed
109,h3819,,0.994240118,110,h1005,Failed
109,h2130,,0.514500477,110,h1006,Passed
109,h2130,,0.567395758,110,h1007,Passed
109,h3839,,0.985785724,110,h1007,Passed
109,h4982,,0.929172677,110,h1008,Failed
109,h3037,,0.972460762,110,h1009,Passed
109,h834,,0.984803525,110,h101,Passed
109,h1425,,0.983940311,110,h1010,Passed
109,h1503,,0.560536111,110,h1011,Passed
109,h1975,,0.832649048,110,h1011,Passed
109,h233,Failed,0.71089937,110,h1011,Passed
109,h2514,,0.540299757,110,h1011,Passed
109,h3193,,0.63734071,110,h1011,Passed
109,h362,Failed,0.556232972,110,h1011,Passed
109,h4235,,0.671352032,110,h1011,Passed
109,h4587,,0.709022138,110,h1011,Passed
109,h4935,,0.649880596,110,h1011,Passed
109,h5006,,0.708704483,110,h1011,Passed
109,h5059,,0.622950324,110,h1011,Passed
109,h5062,,0.695712922,110,h1011,Passed
109,h5149,,0.635459644,110,h1011,Passed
109,h5157,,0.628408942,110,h1011,Passed
109,h539,Passed,0.575308423,110,h1011,Passed
109,h5612,,0.670748756,110,h1011,Passed
109,h6245,,0.550877291,110,h1011,Passed
109,h6270,,0.605035119,110,h1011,Passed
109,h6409,,0.511456715,110,h1011,Passed
109,h851,,0.63268491,110,h1011,Passed
109,h2203,,0.773058692,110,h1012,Passed
109,h2259,,0.560984565,110,h1012,Passed
109,h2830,,0.569228599,110,h1012,Passed
109,h4,Passed,0.578193855,110,h1012,Passed
109,h525,Failed,0.969542783,110,h1012,Passed
109,h4747,,0.682932215,110,h1014,Passed
109,h5609,,0.952629842,110,h1015,Passed
109,h5227,,0.914798604,110,h1016,Failed
109,h5834,,0.9921832,110,h1017,Passed
109,h1256,,0.622201315,110,h1018,Passed
109,h6042,,0.980123907,110,h1018,Passed
109,h226,Passed,0.990352676,110,h102,Passed
109,h5595,,0.962826635,110,h1020,Passed
109,h1512,,0.986246528,110,h1021,Passed
109,h1312,,0.99703773,110,h1022,Passed
109,h3348,,0.510550904,110,h1022,Passed
109,h6242,,0.756508298,110,h1023,Passed
109,h4750,,0.955204857,110,h1025,Passed
109,h1339,,0.706799625,110,h1026,Failed
109,h208,Failed,0.517878978,110,h1026,Failed
109,h579,Passed,0.574119122,110,h1026,Failed
109,h719,,0.934849274,110,h1026,Failed
109,h2369,,0.594402893,110,h1027,Passed
109,h6093,,0.945416709,110,h1029,Passed
109,h697,,0.984776973,110,h103,Passed
109,h2231,,0.504977145,110,h1030,Failed
109,h3078,,0.506867463,110,h1030,Failed
109,h3640,,0.964519618,110,h1030,Failed
109,h5390,,0.652209901,110,h1030,Failed
109,h5465,,0.550379642,110,h1030,Failed
109,h5496,,0.560838196,110,h1030,Failed
109,h159,Passed,0.575784932,110,h1031,Failed
109,h3612,,0.586034742,110,h1031,Failed
109,h3641,,0.932248768,110,h1031,Failed
109,h5225,,0.670788126,110,h1031,Failed
109,h6231,,0.618731244,110,h1031,Failed
109,h192,Failed,0.522852256,110,h1032,Failed
109,h3642,,0.946688327,110,h1032,Failed
109,h3596,,0.516627758,110,h1033,Passed
109,h669,Passed,0.576806483,110,h1034,Passed
109,h2474,,0.859302603,110,h1035,Passed
109,h6026,,0.846257526,110,h1036,Passed
109,h6257,,0.945454359,110,h1038,Passed
109,h69,Passed,0.976398088,110,h104,Passed
109,h1040,,0.99738568,110,h1040,Passed
109,h4707,,0.606872484,110,h1040,Passed
109,h5176,,0.527226052,110,h1040,Passed
109,h1200,,0.500847257,110,h1041,Passed
109,h1346,,0.605726292,110,h1041,Passed
109,h2735,,0.977890899,110,h1041,Passed
109,h3000,,0.518207695,110,h1041,Passed
109,h4992,,0.545224558,110,h1041,Passed
109,h5524,,0.518248085,110,h1041,Passed
109,h5774,,0.525489073,110,h1041,Passed
109,h6185,,0.599576505,110,h1041,Passed
109,h1984,,0.560418003,110,h1043,Passed
109,h3159,,0.959906362,110,h1043,Passed
109,h5420,,0.722339955,110,h1043,Passed
109,h659,Failed,0.947372662,110,h1043,Passed
109,h1868,,0.609669589,110,h1044,Passed
109,h5517,,0.587746276,110,h1044,Passed
109,h5924,,0.907515176,110,h1044,Passed
109,h5866,,0.745891343,110,h1046,Passed
109,h452,Passed,0.961280359,110,h1047,Passed
109,h2521,,0.932872401,110,h1048,Passed
109,h1087,,0.616640335,110,h105,Failed
109,h6287,,0.549880916,110,h105,Failed
109,h73,Passed,0.989078664,110,h105,Failed
109,h760,,0.526220867,110,h105,Failed
109,h1050,,0.998553467,110,h1050,Passed
109,h5139,,0.904872017,110,h1051,Failed
109,h6081,,0.984645771,110,h1052,Passed
109,h5329,,0.959236286,110,h1053,Passed
109,h1629,,0.539322861,110,h1054,Agreed to
109,h3508,,0.535215618,110,h1054,Agreed to
109,h4926,,0.958765518,110,h1054,Agreed to
109,h6219,,0.790193026,110,h1055,Agreed to
109,h402,Passed,0.527297861,110,h1056,Failed
109,h406,Passed,0.918404097,110,h1056,Failed
109,h441,Failed,0.51879395,110,h1056,Failed
109,h5230,,0.661458339,110,h1056,Failed
109,h2426,,0.552132933,110,h1057,Passed
109,h402,Passed,0.574385213,110,h1057,Passed
109,h404,Passed,0.968204068,110,h1057,Passed
109,h4400,,0.559406293,110,h1057,Passed
109,h441,Failed,0.500088274,110,h1057,Passed
109,h5230,,0.506003231,110,h1057,Passed
109,h403,Passed,0.920075522,110,h1058,Passed
109,h625,Passed,0.659344248,110,h1058,Passed
109,h402,Passed,0.893764469,110,h1059,Passed
109,h404,Passed,0.573048274,110,h1059,Passed
109,h406,Passed,0.545269583,110,h1059,Passed
109,h5230,,0.5830331,110,h1059,Passed
109,h986,,0.586591113,110,h1059,Passed
109,h3349,,0.671916115,110,h106,Agreed to
109,h5130,,0.997376727,110,h106,Agreed to
109,h1060,,0.550332875,110,h1060,Passed
109,h3500,,0.528085188,110,h1060,Passed
109,h405,Passed,0.648544196,110,h1060,Passed
109,h5210,,0.552264934,110,h1060,Passed
109,h6114,,0.504628751,110,h1060,Passed
109,h5286,,0.538359923,110,h1061,Passed
109,h5308,,0.521313916,110,h1061,Passed
109,h5536,,0.778055252,110,h1061,Passed
109,h5848,,0.83529626,110,h1061,Passed
109,h3142,,0.575765394,110,h1062,Passed
109,h4232,,0.536357282,110,h1062,Passed
109,h5548,,0.528799931,110,h1062,Passed
109,h5630,,0.661200186,110,h1062,Passed
109,h5875,,0.624371922,110,h1062,Passed
109,h6313,,0.517281541,110,h1062,Passed
109,h2971,,0.777952934,110,h1063,Passed
109,h748,,0.971943009,110,h1063,Passed
109,h312,Passed,0.66703233,110,h1064,Passed
109,h5637,,0.991599445,110,h1065,Passed
109,h6062,,0.856270387,110,h1066,Passed
109,h28,Failed,0.871149035,110,h1068,Agreed to
109,h1279,,0.58012962,110,h1069,Failed
