congress_1,bill_number_1,result_1,similarity,congress_2,bill_number_2,result_2
111,h1105,,0.5841320192686695,112,h1,Passed
111,h2346,,0.5896493247357888,112,h1,Passed
111,h3326,,0.5991404925329372,112,h1,Passed
111,h5745,,0.5388027245487157,112,h1,Passed
111,h1023,,0.5792998904363785,112,h10,Passed
111,h3594,,0.7577233060386843,112,h10,Passed
111,h3765,,0.9655860523506773,112,h10,Passed
111,h4921,,0.6250030669205862,112,h10,Passed
111,h499,Passed,0.5034359728953169,112,h10,Passed
111,h1199,,0.621416454653987,112,h100,Passed
111,h2406,,0.9950517222861098,112,h100,Passed
111,h264,Agreed to,0.5115077810541281,112,h100,Passed
111,h5002,,0.529601609311913,112,h100,Passed
111,h6062,,0.5093619217973269,112,h100,Passed
111,h994,,0.6881425273133256,112,h100,Passed
111,h1067,,0.9880569093142252,112,h1001,
111,h238,Failed,0.8093115971187482,112,h1001,
111,h1521,,0.9608282558105067,112,h1002,
111,h4403,,0.7130415031115777,112,h1003,
111,h5404,,0.7047103211327214,112,h1003,
111,h1279,,0.6160702660275464,112,h1004,
111,h2526,,0.8765490429989413,112,h1004,
111,h544,Passed,0.6937769215884049,112,h1004,
111,h971,Passed,0.6025583471776086,112,h1004,
111,h2443,,0.7940005614276993,112,h1005,
111,h3412,,0.9877253887507486,112,h1006,
111,h559,Passed,0.9172437770698272,112,h1007,
111,h4658,,0.9720189288038478,112,h1008,
111,h4167,,0.9684582694874373,112,h1009,
111,h4927,,0.8157908043158094,112,h101,Passed
111,h79,Passed,0.9348773087123644,112,h101,Passed
111,h880,Passed,0.7385968690104634,112,h1011,
111,h3270,,0.6676443731243576,112,h1013,
111,h6316,,0.5304970864385293,112,h1013,
111,h4043,,0.7572134920578619,112,h1014,
111,h5233,,0.759747970249212,112,h1014,
111,h5333,,0.9920420763943966,112,h1014,
111,h5308,,0.8791938268688364,112,h1015,
111,h144,Passed,0.5384768701560693,112,h1016,
111,h417,Passed,0.5695049389871826,112,h1016,
111,h4206,,0.5914235420405864,112,h1016,
111,h4573,,0.5415015724975331,112,h1016,
111,h4952,,0.6111487946874892,112,h1016,
111,h5006,,0.5369934017666509,112,h1016,
111,h5171,,0.5974765054060294,112,h1016,
111,h6021,,0.736510226876889,112,h1016,
111,h2908,,0.8650635698488861,112,h1017,
111,h6322,,0.7441948394378685,112,h1018,
111,h4088,,0.721490439446585,112,h1019,
111,h4791,,0.6457548028111805,112,h1019,
111,h3174,,0.9668758233724556,112,h102,Passed
111,h1890,,0.5087671720599866,112,h1020,
111,h2386,,0.8818526661896271,112,h1020,
111,h2680,,0.5287085708486609,112,h1020,
