congress_1,bill_number_1,result_1,similarity,congress_2,bill_number_2,result_2
113,h4835,,0.863341613848492,114,h100,Passed
113,h1000,,0.8914109177608982,114,h1000,
113,h870,,0.6873241574285268,114,h1000,
113,h1569,,0.9551649856977229,114,h1001,
113,h243,Failed,0.5280785138542232,114,h1001,
113,h259,Agreed to,0.95770243975985,114,h1001,
113,h2994,,0.7461910882434122,114,h1002,
113,h3856,,0.5623555301771771,114,h1002,
113,h5239,,0.5199375727686313,114,h1002,
113,h5637,,0.614683960324427,114,h1002,
113,h5785,,0.6840983688101296,114,h1002,
113,h3154,,0.6063858860059502,114,h1003,
113,h4913,,0.9457573461361928,114,h1004,
113,h5,Passed,0.5233752074122059,114,h1004,
113,h521,Passed,0.8008036115618465,114,h1004,
113,h4648,,0.9715548851401091,114,h1005,
113,h5458,,0.9879698880423006,114,h1006,
113,h1413,,0.9656476793508845,114,h1007,
113,h4271,,0.9236451580885299,114,h1008,
113,h5424,,0.6463523317501043,114,h1008,
113,h3333,,0.8635166903335212,114,h1009,
113,h100,Passed,0.5444196107698177,114,h101,Passed
113,h101,Agreed to,0.9974620666425854,114,h101,Passed
113,h4917,,0.575621555674054,114,h101,Passed
113,h3364,,0.903316486361915,114,h1010,
113,h3595,,0.763817570804,114,h1011,
113,h1635,,0.5261869188105005,114,h1013,
113,h3483,,0.584751931214679,114,h1013,
113,h4498,,0.620183034163589,114,h1013,
113,h499,Passed,0.9969301045958967,114,h1013,
113,h501,Passed,0.6159845890403655,114,h1013,
113,h689,,0.6770017514257014,114,h1013,
113,h1635,,0.5251165971230752,114,h1014,
113,h3483,,0.5692210200521888,114,h1014,
113,h4498,,0.6046020634894806,114,h1014,
113,h499,Passed,0.6204670122569341,114,h1014,
113,h501,Passed,0.9972656424354742,114,h1014,
113,h689,,0.652577432558125,114,h1014,
113,h710,,0.5044577043695737,114,h1014,
113,h1622,,0.5878060350372628,114,h1015,
113,h2882,,0.5793343018541001,114,h1015,
113,h4281,,0.9147251607588915,114,h1015,
113,h4374,,0.9447475852912838,114,h1016,
113,h4370,,0.9727619864276793,114,h1017,
113,h1279,,0.5123110804892911,114,h1019,
113,h1812,,0.8748108256401859,114,h1019,
113,h4452,,0.9758376338775163,114,h102,Passed
113,h1089,,0.6472221190538904,114,h1020,
113,h1090,,0.5723968050118258,114,h1020,
113,h1343,,0.5722426008642393,114,h1020,
113,h1353,,0.6029743710943493,114,h1020,
113,h1358,,0.5247939011787935,114,h1020,
113,h2159,,0.5151077492761054,114,h1020,
113,h2334,,0.532665605863447,114,h1020,
113,h2426,,0.6122589842381244,114,h1020,
113,h2587,,0.5643938554139226,114,h1020,
113,h2592,,0.6106157375140413,114,h1020,
113,h3690,,0.5242176157140868,114,h1020,
113,h4159,,0.5821337065678096,114,h1020,
113,h4828,,0.637637185270324,114,h1020,
113,h4973,,0.5625471786381335,114,h1020,
113,h5031,,0.9725745676401472,114,h1020,
113,h2828,,0.5009328121425987,114,h1021,
113,h2960,,0.5771259931844792,114,h1021,
113,h3392,,0.5548518796117679,114,h1021,
113,h5780,,0.9922466284653606,114,h1021,
113,h1584,,0.5609855659738586,114,h1022,
113,h1106,,0.7703362134824207,114,h1023,
113,h3223,,0.6699416784702881,114,h1024,
113,h3235,,0.724803467867066,114,h1024,
113,h3290,,0.5988777862158929,114,h1024,
113,h3447,,0.6053281715898873,114,h1024,
113,h1510,,0.5720318238780635,114,h1025,
113,h2404,,0.501821643486517,114,h1025,
113,h3102,,0.547033322073169,114,h1025,
113,h5420,,0.6670623682930237,114,h1026,
113,h1486,,0.5246237550063956,114,h1027,
113,h3042,,0.5462857434620899,114,h1027,
113,h5271,,0.994449711510413,114,h1027,
113,h5307,,0.5404080478629176,114,h1027,
113,h5358,,0.5034130945857446,114,h1027,
113,h3822,,0.9935123635742131,114,h1028,
113,h5428,,0.9954160844789196,114,h1028,
113,h1422,,0.9795801884434812,114,h1029,
113,h3069,,0.9681595320279788,114,h103,Passed
113,h4012,,0.723896966617252,114,h1030,
113,h2263,,0.5432952671302262,114,h1031,
113,h2553,,0.5232915214243927,114,h1031,
113,h4271,,0.6964818843777263,114,h1031,
113,h4522,,0.5597776229340407,114,h1031,
113,h5424,,0.7492043542556719,114,h1031,
113,h3160,,0.7841016557730154,114,h1032,
113,h3224,,0.8184505816824178,114,h1032,
113,h3234,,0.5710388763721727,114,h1032,
113,h3236,,0.7768734713973531,114,h1032,
113,h5207,,0.9551588981606084,114,h1033,
113,h2099,,0.9008265525677964,114,h1034,
113,h3277,,0.5242125580024496,114,h1034,
113,h3718,,0.9844175954768013,114,h1035,
113,h2435,,0.9744490527289277,114,h1036,
113,h5095,,0.5509776431394384,114,h1037,
113,h5837,,0.9905631130300154,114,h1039,
113,h1121,,0.9961469044604901,114,h104,Failed
113,h3990,,0.5024037487966531,114,h104,Failed
113,h1,Passed,0.5607001235418415,114,h1040,
113,h1040,,0.9978944104604699,114,h1040,
113,h25,Passed,0.5064938790433272,114,h1040,
113,h766,,0.5575498327383906,114,h1040,
113,h1888,,0.9765125788814438,114,h1041,
113,h3122,,0.5018104561524027,114,h1042,
113,h4086,,0.9923385948544021,114,h1042,
113,h5168,,0.5203810549191001,114,h1042,
113,h5345,,0.9932287133250461,114,h1043,
113,h603,Failed,0.6072885687085628,114,h1045,
113,h3751,,0.7928802065087692,114,h1046,
113,h2790,,0.691999761736065,114,h1047,
113,h4270,,0.672178776829346,114,h1048,
113,h4270,,0.6087796077927969,114,h1049,
113,h1200,,0.5238281522842203,114,h105,Failed
113,h2165,,0.5128853380081339,114,h105,Failed
113,h2300,,0.6364043038258201,114,h105,Failed
113,h2688,,0.5038835273891876,114,h105,Failed
113,h2900,,0.5331101134476055,114,h105,Failed
113,h3121,,0.6067031766347419,114,h105,Failed
113,h3165,,0.5649842124811122,114,h105,Failed
113,h3622,,0.6025589622396491,114,h105,Failed
113,h4077,,0.9891924130104378,114,h105,Failed
113,h1215,,0.526373702184967,114,h1052,
113,h1230,,0.9849946065445777,114,h1052,
113,h3481,,0.6810303646223718,114,h1053,
113,h3990,,0.5783606459284114,114,h1053,
113,h4400,,0.5575234009678461,114,h1053,
113,h4711,,0.9986221145399429,114,h1053,
113,h1547,,0.7539766037385783,114,h1054,
113,h1798,,0.6371678983910465,114,h1055,
113,h3120,,0.9854694338711254,114,h1055,
113,h4395,,0.7692836884375064,114,h1055,
113,h5022,,0.549308660806343,114,h1055,
113,h963,,0.5573470238433789,114,h1055,
113,h1073,,0.9953884516409047,114,h1056,
113,h1663,,0.9730383052955887,114,h1057,
113,h2768,,0.8511554264716779,114,h1058,
113,h2531,,0.8928539850174898,114,h1059,
113,h2710,,0.9664852320646117,114,h106,Passed
113,h3964,,0.5250849499447924,114,h1060,
113,h4300,,0.9810325885153994,114,h1060,
113,h5412,,0.5543604258987984,114,h1060,
113,h5781,,0.5510069842888773,114,h1060,
113,h1414,,0.5485860456270395,114,h1061,
113,h4748,,0.8409144868614367,114,h1063,
113,h1924,,0.9292606673172973,114,h1064,
113,h4207,,0.6476468048413334,114,h1064,
113,h4373,,0.7403620163011702,114,h1064,
113,h4902,,0.7277928905545812,114,h1064,
113,h1226,,0.5188361032698664,114,h1068,
113,h409,Failed,0.5186293922930073,114,h1068,
113,h4546,,0.8897683268396427,114,h1068,
113,h5671,,0.665855349410619,114,h1068,
113,h1133,,0.9824224883522139,114,h1069,
113,h53,Failed,0.9201306678064687,114,h107,Passed
113,h378,Passed,0.9971165119671178,114,h1070,
113,h5,Passed,0.5692940821043777,114,h1070,
