congress_1,bill_number_1,result_1,similarity,congress_2,bill_number_2,result_2
112,h2101,,0.5079092392898951,113,h1,Passed
112,h2495,,0.6185649492251136,113,h1,Passed
112,h2710,,0.5306274563959174,113,h1,Passed
112,h4260,,0.5292521808018635,113,h1,Passed
112,h5746,,0.5264161248069006,113,h1,Passed
112,h5795,,0.5219461708511752,113,h1,Passed
112,h5974,,0.5037980564966695,113,h1,Passed
112,h6100,,0.5116203134990388,113,h1,Passed
112,h6262,,0.5380142457880179,113,h1,Passed
112,h99,Failed,0.5119740421317845,113,h1,Passed
112,h1525,,0.7086180903211996,113,h10,Passed
112,h2218,,0.8132360208884972,113,h10,Passed
112,h2684,,0.5040776988019727,113,h10,Passed
112,h6117,,0.7569667750985735,113,h100,Passed
112,h2368,,0.5378874189674968,113,h1000,
112,h4277,,0.7779907817330906,113,h1000,
112,h870,Passed,0.6256383093260838,113,h1000,
112,h6346,,0.6942367013863174,113,h1001,
112,h769,Failed,0.6835442176908344,113,h1002,
112,h1840,,0.8126244270286787,113,h1003,
112,h2308,,0.5248590580349584,113,h1003,
112,h2037,,0.5951576279331169,113,h1004,
112,h2378,,0.745891414472952,113,h1004,
112,h2448,,0.7029401052617241,113,h1004,
112,h4099,,0.5803496068320495,113,h1004,
112,h4148,,0.757115088924441,113,h1004,
112,h486,Failed,0.8391903997354677,113,h1004,
112,h127,Passed,0.5552380666646087,113,h1005,
112,h698,Passed,0.5331201259658181,113,h1005,
112,h1692,,0.8122615890276383,113,h1007,
112,h6608,,0.6323999531121078,113,h1007,
112,h2152,,0.7159048995025487,113,h1008,
112,h376,Failed,0.8297782117101534,113,h1009,
112,h1587,,0.7616903143620772,113,h101,Agreed to
112,h4058,,0.5345502253571889,113,h101,Agreed to
112,h5901,,0.6498968272179502,113,h1010,
112,h6211,,0.7964294269792515,113,h1010,
112,h631,Passed,0.5138501850278443,113,h1010,
112,h3227,,0.7997578068219963,113,h1011,
112,h6200,,0.7743983917331658,113,h1012,
112,h93,Passed,0.537144682119724,113,h1013,
112,h94,Passed,0.5359307942808341,113,h1013,
112,h95,Passed,0.537144682119724,113,h1013,
112,h718,Passed,0.818189278170752,113,h1015,
112,h6238,,0.7976064231958174,113,h1016,
112,h2588,,0.7675754680615176,113,h1017,
112,h1465,,0.5326906233172611,113,h1018,
112,h2773,,0.5266976743181646,113,h1018,
112,h3268,,0.6871016050893456,113,h1018,
112,h3304,,0.5550815847297933,113,h1018,
112,h416,Failed,0.6302812819743241,113,h1019,
112,h6021,,0.8312332783068794,113,h102,Failed
112,h1237,,0.5762815740906474,113,h1021,
112,h4193,,0.8412014296226653,113,h1021,
112,h491,Agreed to,0.5212711622685471,113,h1021,
112,h6640,,0.5122290000897899,113,h1021,
112,h2090,,0.5593443193984289,113,h1022,
112,h618,Passed,0.5846536937477459,113,h1022,
112,h952,,0.7979924881990786,113,h1022,
112,h823,Failed,0.7756820608002405,113,h1023,
112,h5545,,0.7972323148987074,113,h1025,
112,h2429,,0.8343968198825102,113,h1026,
112,h1367,,0.8780692836210708,113,h1027,
112,h1875,,0.6099490311036329,113,h1027,
112,h797,Failed,0.6534634241777185,113,h1029,
112,h6643,,0.6206942457504707,113,h103,Failed
112,h456,Passed,0.6809413078243877,113,h1030,
112,h798,Failed,0.8866478919899857,113,h1030,
112,h796,Failed,0.8025176917748242,113,h1031,
112,h6289,,0.6601159274474214,113,h1032,
112,h2489,,0.7097269271479941,113,h1033,
112,h2912,,0.7674334460858614,113,h1034,
112,h1026,,0.6241564920653064,113,h1035,
112,h1309,,0.6057897540362647,113,h1035,
112,h1430,,0.5474514170545527,113,h1035,
112,h1453,,0.5228021539780311,113,h1035,
112,h5740,,0.5989795238809925,113,h1035,
112,h6186,,0.8258385614990867,113,h1035,
112,h700,Passed,0.5409442952582757,113,h1035,
112,h764,Passed,0.5295954211975816,113,h1035,
112,h5788,,0.6776129626706922,113,h1036,
112,h3762,,0.6705335744871938,113,h1037,
112,h1006,,0.7536900827867601,113,h104,Failed
112,h1040,,0.7631611972236509,113,h1040,
112,h3903,,0.5150757385318827,113,h1040,
112,h3931,,0.5951697785118291,113,h1045,
112,h3961,,0.5932263733023109,113,h1045,
112,h3962,,0.5988550755133939,113,h1045,
112,h3969,,0.5308268099092123,113,h1045,
112,h5590,,0.5816752616338314,113,h1045,
112,h3960,,0.5881416351734762,113,h1046,
112,h3960,,0.5519115176691798,113,h1048,
112,h3917,,0.56031782676017,113,h1049,
112,h21,Passed,0.5661364744000655,113,h105,Failed
112,h3939,,0.5072419885514652,113,h1051,
112,h3951,,0.5391048022127715,113,h1051,
112,h3954,,0.5341206754746021,113,h1051,
112,h3917,,0.5201846780049713,113,h1052,
112,h3951,,0.512082318060977,113,h1053,
112,h3954,,0.5073480193437043,113,h1053,
112,h3947,,0.5886457634471806,113,h1054,
112,h3956,,0.5586310688773636,113,h1054,
112,h5589,,0.5435583848520125,113,h1054,
112,h3946,,0.5622044930517182,113,h1057,
112,h3955,,0.5672317569701636,113,h1057,
112,h3966,,0.6192048359498278,113,h1057,
112,h3971,,0.5291029035249885,113,h1057,
112,h4754,,0.5384253433927956,113,h1057,
112,h4756,,0.5476298621687357,113,h1057,
112,h3967,,0.5018742507324465,113,h1058,
112,h121,Passed,0.6746526569533292,113,h106,Passed
112,h262,Passed,0.5892502773961626,113,h106,Passed
112,h297,Passed,0.5979927671827789,113,h106,Passed
112,h3945,,0.5468217681319679,113,h1060,
112,h3958,,0.5401538700613967,113,h1060,
112,h3963,,0.5599402182236597,113,h1060,
112,h4757,,0.522071786653515,113,h1060,
112,h2308,,0.6328020462582933,113,h1062,
112,h2011,,0.736632720687948,113,h1063,
112,h1112,,0.8742164268649909,113,h1064,
112,h6667,,0.5013955711145978,113,h1064,
112,h1737,,0.8004354607313087,113,h1065,
112,h2335,,0.5025743726268683,113,h1066,
112,h6274,,0.8414984864367202,113,h1066,
112,h6602,,0.7758756321954557,113,h1067,
112,h1950,,0.7249250821177349,113,h1068,
112,h1769,,0.5912229762189052,113,h1069,
112,h3193,,0.5932378831687162,113,h1069,
112,h122,Agreed to,0.5207709912538208,113,h107,Passed
112,h3198,,0.5264125073981019,113,h1070,
112,h4120,,0.7845769688918744,113,h1070,
112,h1474,,0.7154508935745452,113,h1072,
112,h5889,,0.6118652018284317,113,h1073,
112,h2194,,0.6289150596568545,113,h1074,
112,h2741,,0.6125553247251031,113,h1074,
112,h2787,,0.6502295756030034,113,h1074,
112,h2960,,0.8401293281700407,113,h1074,
112,h6234,,0.7947634188869208,113,h1076,
112,h2509,,0.5205570354303137,113,h1077,
